chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords
,,F,,C,Am,F,,,Dm,,G,G,,Am,,C,G,Dm,Am,,,F,C,G,,,,Dm,C,,Am,Dm,Dm,Em,,
,,C,,Dm,G,C,,,Am,,Am,C,,C,,Am,C,F,F,,,G,Am,F,,,,Em,G,,F,C,G,G,,
,,G,,Am,Em,Am,,,F,,F,Am,,F,,F,,C,C,,,Dm,C,C,,,,Dm,C,,,Am,Am,C,,
,,C,,F,F,Dm,,,C,,C,F,,C,,C,,C,G,,,F,F,G,,,,C,G,,,F,C,Am,,
,,C,,Am,Am,F,,,Dm,,G,G,,Am,,,,G,Am,,,C,C,F,,,,Em,Am,,,Dm,F,Em,,
,,Em,,G,G,C,,,Am,,Am,C,,Dm,,,,Dm,G,,,G,Am,C,,,,Dm,F,,,C,C,G,,
,,F,,C,Em,C,,,F,,F,Am,,G,,,,F,C,,,Dm,C,G,,,,Em,C,,,Am,F,C,,
,,C,,F,F,Am,,,C,,G,F,,C,,,,Dm,G,,,F,F,,,,,Dm,G,,,F,C,Am,,
,,G,,F,Am,Dm,,,Dm,,Am,G,,F,,,,F,Am,,,C,C,,,,,C,C,,,Dm,F,Em,,
,,C,,Am,G,F,,,Am,,F,F,,Dm,,,,C,F,,,G,Am,,,,,Em,G,,,C,C,G,,
,,C,,C,Em,C,,,F,,C,Am,,G,,,,G,C,,,Dm,C,,,,,Dm,,,,Am,F,C,,
,,Em,,Dm,F,Am,,,,,G,G,,C,,,,Dm,G,,,F,F,,,,,Em,,,,F,Dm,Am,,
,,F,,Am,Am,Dm,,,,,Am,Dm,,F,,,,F,Am,,,C,C,,,,,Dm,,,,Dm,G,Em,,
,,C,,F,G,F,,,,,F,F,,Dm,,,,C,F,,,G,Am,,,,,C,,,,C,Am,G,,
,,G,,Am,Em,C,,,,,C,Am,,G,,,,G,C,,,Dm,C,,,,,Em,,,,Am,C,C,,
,,C,,G,,C,,,,,G,G,,C,,,,Dm,G,,,F,F,,,,,Dm,,,,F,F,Am,,
,,C,,C,,Am,,,,,Am,Dm,,F,,,,F,Am,,,C,C,,,,,Em,,,,Dm,C,Em,,
,,Em,,F,,Dm,,,,,F,F,,Dm,,,,Dm,F,,,G,Am,,,,,Dm,,,,C,F,G,,
,,F,,F,,F,,,,,C,Am,,G,,,,F,C,,,,C,,,,,C,,,,,C,C,,
,,C,,Am,,C,,,,,G,G,,C,,,,C,G,,,,F,,,,,Em,,,,,F,Am,,
,,G,,C,,Am,,,,,Am,Dm,,F,,,,G,Am,,,,C,,,,,Dm,,,,,C,Em,,
,,C,,Dm,,Dm,,,,,F,F,,,,,,Dm,F,,,,Am,,,,,Em,,,,,F,G,,
,,C,,Am,,F,,,,,C,Am,,,,,,F,,,,,F,,,,,Dm,,,,,Dm,C,,
,,G,,F,,C,,,,,G,G,,,,,,C,,,,,C,,,,,C,,,,,G,,,
,,F,,Am,,C,,,,,Am,Dm,,,,,,G,,,,,F,,,,,Em,,,,,Am,,,
,,Am,,G,,,,,,,F,C,,,,,,Dm,,,,,C,,,,,Dm,,,,,C,,,
,,G,,C,,,,,,,C,Am,,,,,,F,,,,,F,,,,,Em,,,,,F,,,
,,C,,F,,,,,,,G,F,,,,,,Dm,,,,,C,,,,,Dm,,,,,C,,,
,,G,,F,,,,,,,Am,G,,,,,,F,,,,,F,,,,,C,,,,,F,,,
,,F,,Am,,,,,,,F,C,,,,,,C,,,,,C,,,,,Em,,,,,C,,,
,,Am,,C,,,,,,,C,Am,,,,,,G,,,,,F,,,,,Dm,,,,,F,,,
,,G,,Dm,,,,,,,G,F,,,,,,Dm,,,,,C,,,,,Em,,,,,C,,,
,,C,,Am,,,,,,,Am,G,,,,,,F,,,,,F,,,,,Dm,,,,,F,,,
,,G,,F,,,,,,,F,C,,,,,,C,,,,,C,,,,,C,,,,,Dm,,,
,,F,,Am,,,,,,,C,Am,,,,,,G,,,,,F,,,,,Em,,,,,G,,,
,,Am,,G,,,,,,,G,F,,,,,,Dm,,,,,C,,,,,Dm,,,,,Am,,,
,,G,,C,,,,,,,Am,G,,,,,,F,,,,,,,,,,Em,,,,,C,,,
,,C,,F,,,,,,,F,C,,,,,,Dm,,,,,,,,,,Dm,,,,,F,,,
,,G,,C,,,,,,,C,Am,,,,,,F,,,,,,,,,,,,,,,C,,,
,,F,,F,,,,,,,G,F,,,,,,C,,,,,,,,,,,,,,,F,,,
,,Am,,Am,,,,,,,Am,G,,,,,,G,,,,,,,,,,,,,,,C,,,
,,G,,C,,,,,,,F,C,,,,,,Dm,,,,,,,,,,,,,,,F,,,
,,C,,Dm,,,,,,,C,Am,,,,,,F,,,,,,,,,,,,,,,C,,,
,,Am,,Am,,,,,,,G,F,,,,,,G,,,,,,,,,,,,,,,F,,,
,,F,,F,,,,,,,Am,G,,,,,,Dm,,,,,,,,,,,,,,,Dm,,,
,,C,,Am,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,G,,,
,,Am,,G,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,Am,,,
,,F,,C,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,C,,,
,,C,,C,,,,,,,,,,,,,,Dm,,,,,,,,,,,,,,,F,,,
,,Am,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,C,,,
,,F,,Am,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,
,,Am,,C,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,C,,,
,,F,,Dm,,,,,,,,,,,,,,Dm,,,,,,,,,,,,,,,F,,,
,,C,,Am,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,C,,,
,,G,,F,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,F,,,
,,Am,,Am,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,Dm,,,
,,F,,G,,,,,,,,,,,,,,Dm,,,,,,,,,,,,,,,G,,,
,,C,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,Am,,,
,,G,,C,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,C,,,
,,Am,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,
,,F,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,
,,G,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
,,Am,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,
,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
,,C,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Em,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Em,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Em,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Em,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Am,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Am,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Am,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Am,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
